recall;precision;specificity;F1;F2;confmatNN;confmatNY;confmatYN;confmatYY
0.10000000;0.20833333;0.94476744;0.13513514;0.13513514;325.00000000;19.00000000;45.00000000;5.00000000
0.10000000;0.22727273;0.95058140;0.13888889;0.13888889;327.00000000;17.00000000;45.00000000;5.00000000
0.08000000;0.19047619;0.95058140;0.11267606;0.11267606;327.00000000;17.00000000;46.00000000;4.00000000
0.12000000;0.22222222;0.93895349;0.15584416;0.15584416;323.00000000;21.00000000;44.00000000;6.00000000
0.16000000;0.30769231;0.94767442;0.21052632;0.21052632;326.00000000;18.00000000;42.00000000;8.00000000
0.14000000;0.30434783;0.95348837;0.19178082;0.19178082;328.00000000;16.00000000;43.00000000;7.00000000
0.18000000;0.40909091;0.96220930;0.25000000;0.25000000;331.00000000;13.00000000;41.00000000;9.00000000
0.10000000;0.22727273;0.95058140;0.13888889;0.13888889;327.00000000;17.00000000;45.00000000;5.00000000
0.12000000;0.27272727;0.95348837;0.16666667;0.16666667;328.00000000;16.00000000;44.00000000;6.00000000
0.08000000;0.20000000;0.95348837;0.11428571;0.11428571;328.00000000;16.00000000;46.00000000;4.00000000
0.02000000;0.04545455;0.93895349;0.02777778;0.02777778;323.00000000;21.00000000;49.00000000;1.00000000
0.06000000;0.17647059;0.95930233;0.08955224;0.08955224;330.00000000;14.00000000;47.00000000;3.00000000
0.14000000;0.28000000;0.94767442;0.18666667;0.18666667;326.00000000;18.00000000;43.00000000;7.00000000
0.10000000;0.27777778;0.96220930;0.14705882;0.14705882;331.00000000;13.00000000;45.00000000;5.00000000
0.06000000;0.17647059;0.95930233;0.08955224;0.08955224;330.00000000;14.00000000;47.00000000;3.00000000
0.14000000;0.26923077;0.94476744;0.18421053;0.18421053;325.00000000;19.00000000;43.00000000;7.00000000
0.14000000;0.23333333;0.93313953;0.17500000;0.17500000;321.00000000;23.00000000;43.00000000;7.00000000
0.06000000;0.18750000;0.96220930;0.09090909;0.09090909;331.00000000;13.00000000;47.00000000;3.00000000
0.12000000;0.31578947;0.96220930;0.17391304;0.17391304;331.00000000;13.00000000;44.00000000;6.00000000
0.14000000;0.31818182;0.95639535;0.19444444;0.19444444;329.00000000;15.00000000;43.00000000;7.00000000
